trajectory,ns,delta_t,sc_0,sc_1,sc_2,sc_3,sc_4,sc_5
79,1000,1,0.022393,0.019704,0.000782,-0.002006,-0.020573,-0.019452
80,1000,1,0.017293,0.027026,-0.000566,0.004208,-0.014629,-0.021467
81,1000,1,0.016837,0.018306,-0.005532,-0.006127,-0.022966,-0.017971
82,1000,1,0.017959,0.022986,0.002396,-0.002615,-0.017075,-0.033921
83,1000,1,0.017060,0.016807,-0.003890,0.003098,-0.021218,-0.023723
84,1000,1,0.018755,0.020015,0.000607,-0.002039,-0.018456,-0.022410
85,1000,1,0.013371,0.020338,0.001329,-0.001687,-0.021250,-0.022280
86,1000,1,0.015159,0.017360,0.003436,-0.001500,-0.023904,-0.021552
87,1000,1,0.020153,0.018231,-0.002341,0.004800,-0.020958,-0.013738
88,1000,1,0.013552,0.014297,-0.003413,-0.003042,-0.019279,-0.012383
89,1000,1,0.027275,0.015996,0.003773,-0.002033,-0.018566,-0.014053
90,1000,1,0.014352,0.023904,0.001178,0.002014,-0.018457,-0.022579
91,1000,1,0.022239,0.018540,0.000886,-0.001156,-0.022026,-0.017822
92,1000,1,0.020228,0.016916,0.002229,-0.004381,-0.020958,-0.018219
93,1000,1,0.023549,0.022913,-0.002150,0.002665,-0.024839,-0.025594
94,1000,1,0.019471,0.016880,-0.000058,-0.003256,-0.022373,-0.023929
95,1000,1,0.029704,0.016335,0.002661,0.004256,-0.017794,-0.025828
96,1000,1,0.020102,0.029380,0.007754,-0.001153,-0.019443,-0.018695
97,1000,1,0.023697,0.014576,-0.002786,-0.000539,-0.011448,-0.019156
98,1000,1,0.020698,0.020872,0.000146,-0.009179,-0.026884,-0.015452
99,1000,1,0.018521,0.020745,0.004424,0.009507,-0.012873,-0.019560
