trajectory,ns,delta_t,sc_0,sc_1,sc_2,sc_3,sc_4,sc_5
79,1000,1,0.022028,0.008580,0.004731,-0.002950,-0.018609,-0.019559
80,1000,1,0.016547,0.015606,-0.000797,0.004619,-0.013304,-0.017142
81,1000,1,0.017914,0.015184,-0.008915,-0.007137,-0.025931,-0.015746
82,1000,1,0.019704,0.021761,0.003306,-0.003117,-0.016066,-0.029609
83,1000,1,0.017485,0.014078,-0.004651,0.001089,-0.023745,-0.022417
84,1000,1,0.017120,0.016283,0.000562,-0.005127,-0.015161,-0.026282
85,1000,1,0.016819,0.017648,0.001523,0.000499,-0.023772,-0.021420
86,1000,1,0.014557,0.013881,-0.000267,-0.003396,-0.015020,-0.016136
87,1000,1,0.019026,0.012497,-0.002960,0.003886,-0.023412,-0.015087
88,1000,1,0.013026,0.011319,-0.001654,-0.000384,-0.012944,-0.013538
89,1000,1,0.026885,0.017218,0.002633,-0.003428,-0.016220,-0.009791
90,1000,1,0.017154,0.025842,0.003052,0.007676,-0.018958,-0.025948
91,1000,1,0.019325,0.018329,0.001019,0.001005,-0.015666,-0.023714
92,1000,1,0.015085,0.016683,0.002757,-0.007886,-0.023957,-0.014376
93,1000,1,0.021982,0.020021,-0.001259,-0.000308,-0.025079,-0.025223
94,1000,1,0.022478,0.015980,-0.000483,-0.008411,-0.015340,-0.016791
95,1000,1,0.031188,0.019738,0.002172,-0.001619,-0.020998,-0.032791
96,1000,1,0.009782,0.025951,0.007124,-0.006511,-0.021702,-0.020059
97,1000,1,0.025291,0.010107,-0.009893,0.001500,-0.012101,-0.015410
98,1000,1,0.019113,0.017739,-0.001159,-0.017863,-0.026424,-0.015820
99,1000,1,0.012691,0.017369,0.002193,0.007288,-0.007668,-0.014809
