trajectory,ns,delta_t,sc_0,sc_1,sc_2,sc_3,sc_4,sc_5,sc_6,sc_7,sc_8,sc_11,sc_12,sc_13,sc_14,sc_15,sc_16,sc_17,sc_18,sc_19
29,1000,1,0.019534,0.020704,0.025540,0.017550,0.003781,-0.001347,0.002995,-0.001625,0.003495,0.007778,-0.003151,-0.010599,-0.000131,0.004455,-0.019720,-0.014351,-0.013278,-0.015442
30,1000,1,0.015132,0.029898,0.036650,0.009318,0.002646,-0.000622,0.003558,-0.004242,-0.000448,-0.005661,-0.000425,-0.001845,0.006418,0.002023,-0.017611,-0.024438,-0.019644,-0.013828
31,1000,1,0.028931,0.014413,0.026488,0.012171,0.001151,-0.000950,0.000719,0.005106,0.008256,0.005349,-0.003870,-0.003289,0.003756,0.000199,-0.009537,-0.024367,-0.022529,-0.025974
32,1000,1,0.023999,0.023294,0.012288,0.018670,0.005636,0.000172,-0.006207,0.003863,-0.000408,0.002394,-0.002147,0.002480,-0.002854,-0.001836,-0.019818,-0.023530,-0.020921,-0.017293
33,1000,1,0.014736,0.018454,0.024545,0.020238,-0.000129,-0.000004,-0.000135,-0.001148,-0.000292,-0.007453,0.000046,0.000663,0.000868,0.004889,-0.018765,-0.016098,-0.025850,-0.012677
34,1000,1,0.010679,0.021029,0.022875,0.011055,-0.002007,-0.000047,0.004916,-0.003700,-0.001079,-0.000227,0.007833,-0.000312,0.000568,0.000217,-0.016190,-0.029689,-0.020241,-0.017632
35,1000,1,0.026736,0.017314,0.033550,0.024234,0.003711,-0.001970,0.005039,-0.002300,-0.002100,0.011791,-0.000386,0.005990,-0.000957,0.001205,-0.015395,-0.039247,-0.020082,-0.016838
36,1000,1,0.021990,0.023092,0.021172,0.016795,-0.002867,0.001450,0.002359,0.001575,-0.000217,0.007291,0.001987,-0.001199,-0.002191,-0.000216,-0.023922,-0.020666,-0.021817,-0.019808
37,1000,1,0.020253,0.012652,0.017684,0.026206,-0.003358,-0.001260,0.003638,0.001561,-0.001970,0.000643,0.004258,0.000092,-0.001476,0.000102,-0.015239,-0.018306,-0.017572,-0.024947
38,1000,1,0.015440,0.021295,0.018280,0.026533,-0.000246,-0.000590,0.002502,-0.000732,-0.002621,-0.000174,-0.005764,-0.001422,0.001679,0.005651,-0.015885,-0.029367,-0.013294,-0.018609
39,1000,1,0.018044,0.014766,0.017163,0.013281,0.005025,0.000023,-0.002136,-0.003145,-0.003637,-0.001978,-0.003585,-0.001465,-0.002245,-0.001480,-0.019262,-0.012414,-0.022585,-0.017150
40,1000,1,0.014650,0.020170,0.021075,0.007234,-0.004575,0.000176,-0.001245,0.001982,-0.001941,-0.003034,0.001064,0.004212,-0.005097,0.000763,-0.018217,-0.019788,-0.013668,-0.018559
41,1000,1,0.019653,0.019040,0.018759,0.018692,0.004605,-0.000764,0.005166,0.000471,0.004651,0.005031,0.002307,-0.003521,0.002022,0.001959,-0.021675,-0.021149,-0.015841,-0.028378
42,1000,1,0.015061,0.012941,0.011265,0.019382,0.007434,-0.002852,-0.000859,0.004747,-0.002715,-0.010940,-0.003651,0.010082,-0.001445,-0.006194,-0.016990,-0.019715,-0.018318,-0.016442
43,1000,1,0.014925,0.019379,0.015230,0.013025,-0.002612,0.000031,-0.003913,0.006882,-0.001153,0.001281,0.006617,-0.002383,-0.001720,-0.002406,-0.020554,-0.028619,-0.021888,-0.015213
44,1000,1,0.017969,0.014752,0.016522,0.017713,-0.009427,-0.005553,-0.001389,0.001390,0.001379,0.001963,0.000583,0.000739,0.005133,0.009704,-0.022136,-0.014748,-0.012998,-0.020869
45,1000,1,0.025853,0.024273,0.018392,0.025288,0.000811,-0.001374,-0.002659,0.002130,-0.002219,0.000974,-0.005068,0.002228,0.000476,-0.001542,-0.013362,-0.021352,-0.023408,-0.015641
46,1000,1,0.024461,0.014256,0.015353,0.017253,-0.001542,-0.000466,-0.008347,0.004990,0.002612,0.002186,-0.001822,-0.003383,0.000347,0.001230,-0.015762,-0.026893,-0.018988,-0.014978
47,1000,1,0.018872,0.026824,0.015658,0.014353,0.008079,0.000571,0.004302,-0.005877,0.002881,-0.000550,-0.003392,0.000674,0.000936,0.001416,-0.013835,-0.020134,-0.025041,-0.017501
