trajectory,ns,delta_t,sc_0,sc_1,sc_2,sc_3,sc_4,sc_5,sc_6,sc_7,sc_8,sc_11,sc_12,sc_13,sc_14,sc_15,sc_16,sc_17,sc_18,sc_19
29,1000,1,0.016835,0.019757,0.020282,0.015981,0.002374,-0.002957,0.004346,-0.003454,0.002844,0.009882,-0.001056,-0.009975,-0.001274,0.002910,-0.020959,-0.014538,-0.014532,-0.019100
30,1000,1,0.011961,0.027393,0.028378,0.018664,0.002657,0.000557,0.001170,-0.003191,0.002009,-0.006404,0.001066,0.001783,0.006085,0.000501,-0.014608,-0.019424,-0.021923,-0.014458
31,1000,1,0.024955,0.015322,0.023056,0.012783,0.000271,-0.000075,-0.001800,0.002086,0.002629,0.003022,-0.001690,-0.000973,0.002870,0.000238,-0.016085,-0.024766,-0.022998,-0.020612
32,1000,1,0.021937,0.023639,0.016335,0.015206,0.004645,0.000605,-0.003395,0.002898,0.000221,0.002938,0.001766,0.003225,-0.002002,0.001136,-0.020380,-0.023043,-0.016693,-0.015882
33,1000,1,0.018753,0.019450,0.019173,0.017456,-0.000942,-0.000101,0.000377,-0.001033,-0.002012,-0.008997,0.000605,0.001218,-0.001152,0.003034,-0.018288,-0.016951,-0.024115,-0.011143
34,1000,1,0.011753,0.022348,0.027859,0.015159,-0.001669,0.001318,0.005964,-0.003405,-0.000023,-0.000479,0.008469,-0.001296,0.000449,-0.002508,-0.015913,-0.026375,-0.018541,-0.017538
35,1000,1,0.025310,0.016742,0.034124,0.021175,0.002356,-0.001338,0.003385,0.000962,-0.003491,0.013173,-0.004153,0.008629,0.001003,0.000761,-0.015932,-0.034725,-0.019319,-0.015664
36,1000,1,0.017993,0.021648,0.019828,0.019806,-0.001630,0.001459,0.000702,0.000417,-0.001015,0.004336,0.003402,-0.002896,-0.000808,0.000635,-0.020742,-0.019808,-0.021575,-0.015807
37,1000,1,0.018479,0.010746,0.019094,0.021249,-0.002147,-0.003960,0.002186,0.003097,-0.000237,0.001694,0.003134,0.000654,-0.001278,0.000861,-0.016145,-0.020424,-0.019916,-0.024205
38,1000,1,0.014316,0.020831,0.015293,0.025035,-0.001297,0.000425,0.003897,0.001195,-0.001480,0.000378,-0.002412,-0.002084,-0.004860,0.005544,-0.015683,-0.026769,-0.019415,-0.017936
39,1000,1,0.017372,0.016318,0.020093,0.010891,0.008318,-0.001797,-0.001574,-0.000588,-0.002376,-0.002315,-0.001667,-0.001421,0.000748,-0.003522,-0.019505,-0.010394,-0.021999,-0.017195
40,1000,1,0.016167,0.026587,0.022093,0.010305,-0.002772,-0.000005,0.001900,0.002728,-0.005549,-0.001221,-0.004094,0.004128,-0.001455,0.001305,-0.020245,-0.027610,-0.016913,-0.016033
41,1000,1,0.020454,0.019228,0.018467,0.019908,0.003783,-0.001354,0.004930,0.002361,0.003485,0.004546,0.003243,-0.003240,0.000409,-0.001191,-0.022894,-0.024367,-0.016921,-0.022870
